,event_id,orig_event_id,player_id,player_name,team_id,team_name,possession_id,possession_name,possession_team_id,possession_number,seconds_since_poss,standart_name,period_id,time_seconds,attack_status_name,attack_type_name,attack_team_id,action_id,type_name,result_id,result_name,generic_action_type_id,generic_action_type_name,action_subtype_name,touches,shot_type,shot_handling,under_pressure,high_speed,start_x,start_y,end_x,end_y,gate_x,gate_y,opponent_position_id,opponent_id,opponent_team_name,opponent_team_id,opponent_name,body_name,is_poss_team,is_att_team
0,5146,1998205_5146,26140,Marcelo Brozovic,151,Inter Milan,1998205___2___5146___5179___no-goal,Ball possession,151,2,0.0,Open play,1,12.83,Start,Positional attack,151,1011,Attacking pass accurate,1,success,1,Pass,Attacking pass,Unknown,Undefined,Undefined,True,False,37.8,64.6,26.9,60.0,0.0,0.0,22,366890,Inter Milan,151,Alessandro Bastoni,Unknown,True,True
1,5147,1998205_5147,366890,Alessandro Bastoni,151,Inter Milan,1998205___2___5146___5179___no-goal,Ball possession,151,2,1.92,Open play,1,14.75,Attack,Positional attack,151,1011,Attacking pass accurate,1,success,1,Pass,Attacking pass,Unknown,Undefined,Undefined,True,False,26.9,60.0,4.3,37.9,0.0,0.0,31,1689,Inter Milan,151,Samir Handanovic,Unknown,True,True
2,5148,1998205_5148,1689,Samir Handanovic,151,Inter Milan,1998205___2___5146___5179___no-goal,Ball possession,151,2,4.1,Open play,1,16.93,Attack,Positional attack,151,22000,Ball receiving,1,success,22,Ball receiving,Ball receiving,Unknown,Undefined,Undefined,True,False,4.3,37.9,4.3,37.9,0.0,0.0,,,,,,Unknown,True,True
3,5149,1998205_5149,1689,Samir Handanovic,151,Inter Milan,1998205___2___5146___5179___no-goal,Ball possession,151,2,10.66,Open play,1,23.49,Attack,Positional attack,151,1011,Attacking pass accurate,1,success,1,Pass,Attacking pass,Unknown,Undefined,Undefined,True,False,6.0,32.0,31.5,64.8,0.0,0.0,22,366890,Inter Milan,151,Alessandro Bastoni,Unknown,True,True
4,5150,1998205_5150,366890,Alessandro Bastoni,151,Inter Milan,1998205___2___5146___5179___no-goal,Ball possession,151,2,15.61,Open play,1,28.44,Attack,Positional attack,151,1011,Attacking pass accurate,1,success,1,Pass,Attacking pass,Unknown,Undefined,Undefined,True,False,31.5,64.8,12.4,53.3,0.0,0.0,32,4320,Inter Milan,151,Stefan de Vrij,Unknown,True,True
5,5151,1998205_5151,4320,Stefan de Vrij,151,Inter Milan,1998205___2___5146___5179___no-goal,Ball possession,151,2,18.4,Open play,1,31.23,Attack,Positional attack,151,1011,Attacking pass accurate,1,success,1,Pass,Attacking pass,Unknown,Undefined,Undefined,True,False,12.4,53.3,14.5,15.4,0.0,0.0,42,94779,Inter Milan,151,Milan Skriniar,Unknown,True,True
6,5164,1998205_5164,94779,Milan Skriniar,151,Inter Milan,1998205___2___5146___5179___no-goal,Ball possession,151,2,21.41,Open play,1,34.24,Attack,Positional attack,151,22000,Ball receiving,1,success,22,Ball receiving,Ball receiving,Unknown,Undefined,Undefined,True,False,14.5,15.4,14.5,15.4,0.0,0.0,,,,,,Unknown,True,True
7,5165,1998205_5165,94779,Milan Skriniar,151,Inter Milan,1998205___2___5146___5179___no-goal,Ball possession,151,2,23.44,Open play,1,36.27,Attack,Positional attack,151,1011,Attacking pass accurate,1,success,1,Pass,Attacking pass,Unknown,Undefined,Undefined,True,False,20.0,13.8,31.4,5.4,0.0,0.0,44,204266,Inter Milan,151,Nicolo Barella,Unknown,True,True
8,5166,1998205_5166,204266,Nicolo Barella,151,Inter Milan,1998205___2___5146___5179___no-goal,Ball possession,151,2,24.77,Open play,1,37.6,Attack,Positional attack,151,22000,Ball receiving,1,success,22,Ball receiving,Ball receiving,Unknown,Undefined,Undefined,True,False,31.4,5.4,31.4,5.4,0.0,0.0,,,,,,Unknown,True,True
9,5167,1998205_5167,204266,Nicolo Barella,151,Inter Milan,1998205___2___5146___5179___no-goal,Ball possession,151,2,28.06,Open play,1,40.89,Attack,Positional attack,151,1011,Attacking pass accurate,1,success,1,Pass,Attacking pass,Unknown,Undefined,Undefined,True,False,30.5,7.5,20.6,13.6,0.0,0.0,42,94779,Inter Milan,151,Milan Skriniar,Unknown,True,True
10,5168,1998205_5168,94779,Milan Skriniar,151,Inter Milan,1998205___2___5146___5179___no-goal,Ball possession,151,2,28.93,Open play,1,41.76,Attack,Positional attack,151,22000,Ball receiving,1,success,22,Ball receiving,Ball receiving,Unknown,Undefined,Undefined,True,False,20.6,13.6,20.6,13.6,0.0,0.0,,,,,,Unknown,True,True
