event_id,orig_event_id,player_id,player_name,team_id,team_name,_id,possession_name,possession_team_id,possession_number,seconds_since_poss,standart_name,period_id,time_seconds,attack_status_name,attack_type_name,attack_team_id,action_id,type_name,result_id,result_name,generic_action_type_id,generic_action_type_name,under_pressure,high_speed,start_x,start_y,end_x,end_y,gate_x,gate_y,body_name,is_poss_team,is_att_team,proba_goal,proba_no-goal,gameId,possessionNumber,target
5135,1998205_5135,6121,Joao Pedro Geraldino dos Santos Galvao,272,Cagliari,1998205___1___5135___5144___no-goal,Start,272,1,0.0,Indirect free kick,1,0.0,Start,Positional attack,272,1011,Attacking pass accurate,1,success,1,Pass,False,False,52.5,34.0,31.8,30.0,0.0,0.0,Unknown,True,True,0.23054764,0.76945233,1998205,1,no-goal
5136,1998205_5136,163764,Razvan Gabriel Marin,272,Cagliari,1998205___1___5135___5144___no-goal,Ball possession,272,1,2.37,Open play,1,2.37,Attack,Positional attack,272,1011,Attacking pass accurate,1,success,1,Pass,False,False,31.8,30.0,64.6,5.4,0.0,0.0,Unknown,True,True,0.26753867,0.73246133,1998205,1,no-goal
5137,1998205_5137,185339,Alessandro Deiola,272,Cagliari,1998205___1___5135___5144___no-goal,Ball possession,272,1,5.18,Open play,1,5.18,Attack,Positional attack,272,2021,Air challenges / won,1,success,2,Challenges,False,False,64.6,5.4,64.6,5.4,0.0,0.0,Unknown,True,True,0.05147592,0.94852406,1998205,1,no-goal
5138,1998205_5138,185339,Alessandro Deiola,272,Cagliari,1998205___1___5135___5144___no-goal,Ball possession,272,1,5.18,Open play,1,5.18,Attack,Positional attack,272,1012,Attacking pass inaccurate,0,fail,1,Pass,False,False,64.6,5.4,76.3,8.3,0.0,0.0,Unknown,True,True,0.05147592,0.94852406,1998205,1,no-goal
5139,1998205_5139,366890,Alessandro Bastoni,151,Inter Milan,1998205___1___5135___5144___no-goal,Ball possession,272,1,6.57,Open play,1,6.57,Attack,Positional attack,272,1012,Attacking pass inaccurate,0,fail,1,Pass,False,False,76.3,8.3,45.7,9.2,0.0,0.0,Unknown,False,False,0.12437001,0.87563,1998205,1,no-goal
8346,1998205_8346,366890,Alessandro Bastoni,151,Inter Milan,1998205___1___5135___5144___no-goal,Ball possession,272,1,6.58,Open play,1,6.58,Attack,Positional attack,272,7000,Free ball pick up,1,success,7,Free ball pick up,False,False,76.3,8.3,76.3,8.3,0.0,0.0,Unknown,False,False,0.17698778,0.82301223,1998205,1,no-goal
5140,1998205_5140,3898,Diego Roberto Godin Leal,272,Cagliari,1998205___1___5135___5144___no-goal,Ball possession,272,1,8.53,Open play,1,8.53,Attack,Positional attack,272,6020,Pass interceptions,1,success,6,Interception,False,False,45.7,9.2,45.7,9.2,0.0,0.0,Unknown,True,True,0.1822507,0.8177493,1998205,1,no-goal
5141,1998205_5141,3898,Diego Roberto Godin Leal,272,Cagliari,1998205___1___5135___5144___no-goal,Ball possession,272,1,8.53,Open play,1,8.53,Attack,Positional attack,272,1011,Attacking pass accurate,1,success,1,Pass,False,False,45.7,9.2,58.3,6.3,0.0,0.0,Unknown,True,True,0.1822507,0.8177493,1998205,1,no-goal
5142,1998205_5142,185339,Alessandro Deiola,272,Cagliari,1998205___1___5135___5144___no-goal,Ball possession,272,1,9.23,Open play,1,9.23,Attack,Positional attack,272,1011,Attacking pass accurate,1,success,1,Pass,False,False,58.3,6.3,63.7,1.4,0.0,0.0,Unknown,True,True,0.1778581,0.8221419,1998205,1,no-goal
5143,1998205_5143,366891,Raoul Bellanova,272,Cagliari,1998205___1___5135___5144___no-goal,Ball possession,272,1,10.64,Open play,1,10.64,Attack,Positional attack,272,1012,Attacking pass inaccurate,0,fail,1,Pass,False,False,63.7,1.4,65.8,9.4,0.0,0.0,Unknown,True,True,0.051871583,0.9481284,1998205,1,no-goal
5144,1998205_5144,26140,Marcelo Brozovic,151,Inter Milan,1998205___1___5135___5144___no-goal,Transition of possession,272,1,11.81,Open play,1,11.81,End,Positional attack,272,6020,Pass interceptions,1,success,6,Interception,False,False,65.8,9.4,65.8,9.4,0.0,0.0,Unknown,False,False,1.8430706e-05,0.9999816,1998205,1,no-goal
5146,1998205_5146,26140,Marcelo Brozovic,151,Inter Milan,1998205___2___5146___5179___no-goal,Ball possession,151,2,0.0,Open play,1,12.83,Start,Positional attack,151,1011,Attacking pass accurate,1,success,1,Pass,True,False,37.8,64.6,26.9,60.0,0.0,0.0,Unknown,True,True,0.2159524,0.7840476,1998205,2,no-goal
5147,1998205_5147,366890,Alessandro Bastoni,151,Inter Milan,1998205___2___5146___5179___no-goal,Ball possession,151,2,1.92,Open play,1,14.75,Attack,Positional attack,151,1011,Attacking pass accurate,1,success,1,Pass,True,False,26.9,60.0,4.3,37.9,0.0,0.0,Unknown,True,True,0.18555328,0.8144467,1998205,2,no-goal
5148,1998205_5148,1689,Samir Handanovic,151,Inter Milan,1998205___2___5146___5179___no-goal,Ball possession,151,2,4.1,Open play,1,16.93,Attack,Positional attack,151,22000,Ball receiving,1,success,22,Ball receiving,True,False,4.3,37.9,4.3,37.9,0.0,0.0,Unknown,True,True,0.19668357,0.8033164,1998205,2,no-goal
5149,1998205_5149,1689,Samir Handanovic,151,Inter Milan,1998205___2___5146___5179___no-goal,Ball possession,151,2,10.66,Open play,1,23.49,Attack,Positional attack,151,1011,Attacking pass accurate,1,success,1,Pass,True,False,6.0,32.0,31.5,64.8,0.0,0.0,Unknown,True,True,0.22464617,0.77535385,1998205,2,no-goal
5150,1998205_5150,366890,Alessandro Bastoni,151,Inter Milan,1998205___2___5146___5179___no-goal,Ball possession,151,2,15.61,Open play,1,28.44,Attack,Positional attack,151,1011,Attacking pass accurate,1,success,1,Pass,True,False,31.5,64.8,12.4,53.3,0.0,0.0,Unknown,True,True,0.23490672,0.76509327,1998205,2,no-goal
5151,1998205_5151,4320,Stefan de Vrij,151,Inter Milan,1998205___2___5146___5179___no-goal,Ball possession,151,2,18.4,Open play,1,31.23,Attack,Positional attack,151,1011,Attacking pass accurate,1,success,1,Pass,True,False,12.4,53.3,14.5,15.4,0.0,0.0,Unknown,True,True,0.25340495,0.746595,1998205,2,no-goal
5164,1998205_5164,94779,Milan Skriniar,151,Inter Milan,1998205___2___5146___5179___no-goal,Ball possession,151,2,21.41,Open play,1,34.24,Attack,Positional attack,151,22000,Ball receiving,1,success,22,Ball receiving,True,False,14.5,15.4,14.5,15.4,0.0,0.0,Unknown,True,True,0.24977258,0.75022745,1998205,2,no-goal
5165,1998205_5165,94779,Milan Skriniar,151,Inter Milan,1998205___2___5146___5179___no-goal,Ball possession,151,2,23.44,Open play,1,36.27,Attack,Positional attack,151,1011,Attacking pass accurate,1,success,1,Pass,True,False,20.0,13.8,31.4,5.4,0.0,0.0,Unknown,True,True,0.25871968,0.7412803,1998205,2,no-goal
5166,1998205_5166,204266,Nicolo Barella,151,Inter Milan,1998205___2___5146___5179___no-goal,Ball possession,151,2,24.77,Open play,1,37.6,Attack,Positional attack,151,22000,Ball receiving,1,success,22,Ball receiving,True,False,31.4,5.4,31.4,5.4,0.0,0.0,Unknown,True,True,0.25859934,0.74140066,1998205,2,no-goal
5167,1998205_5167,204266,Nicolo Barella,151,Inter Milan,1998205___2___5146___5179___no-goal,Ball possession,151,2,28.06,Open play,1,40.89,Attack,Positional attack,151,1011,Attacking pass accurate,1,success,1,Pass,True,False,30.5,7.5,20.6,13.6,0.0,0.0,Unknown,True,True,0.26317152,0.73682845,1998205,2,no-goal
5168,1998205_5168,94779,Milan Skriniar,151,Inter Milan,1998205___2___5146___5179___no-goal,Ball possession,151,2,28.93,Open play,1,41.76,Attack,Positional attack,151,22000,Ball receiving,1,success,22,Ball receiving,True,False,20.6,13.6,20.6,13.6,0.0,0.0,Unknown,True,True,0.26723066,0.73276937,1998205,2,no-goal
5169,1998205_5169,94779,Milan Skriniar,151,Inter Milan,1998205___2___5146___5179___no-goal,Ball possession,151,2,31.61,Open play,1,44.44,Attack,Positional attack,151,1011,Attacking pass accurate,1,success,1,Pass,True,False,21.0,22.8,23.8,50.1,0.0,0.0,Unknown,True,True,0.28544196,0.714558,1998205,2,no-goal
5170,1998205_5170,4320,Stefan de Vrij,151,Inter Milan,1998205___2___5146___5179___no-goal,Ball possession,151,2,33.95,Open play,1,46.78,Attack,Positional attack,151,1011,Attacking pass accurate,1,success,1,Pass,True,False,23.8,50.1,43.7,61.7,0.0,0.0,Unknown,True,True,0.29439744,0.7056025,1998205,2,no-goal
5171,1998205_5171,366890,Alessandro Bastoni,151,Inter Milan,1998205___2___5146___5179___no-goal,Ball possession,151,2,36.69,Open play,1,49.52,Attack,Positional attack,151,1011,Attacking pass accurate,1,success,1,Pass,True,False,43.7,61.7,44.4,10.6,0.0,0.0,Unknown,True,True,0.32266548,0.67733455,1998205,2,no-goal
